geoid,geoName,year,sector,establishments,employment,wages,gdp
36075,Oswego County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
36075,Oswego County,2021,Ship and Boat Building,0,0,0,0
36075,Oswego County,2021,Tourism and Recreation,143.823,1474.562,30878094.74,67532884.797
36079,Putnam County,2021,Marine Construction,SUP,SUP,SUP,SUP
36079,Putnam County,2021,Living Resources,0,0,0,0
36079,Putnam County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
36079,Putnam County,2021,Ship and Boat Building,0,0,0,0
36079,Putnam County,2021,Tourism and Recreation,0,0,0,0
36079,Putnam County,2021,Marine Transportation,SUP,SUP,SUP,SUP
36079,Putnam County,2021,Ocean Economy,SUP,SUP,SUP,SUP
36081,Queens County,2021,Marine Transportation,55,2335,114292172,146632670.97
36081,Queens County,2021,Ocean Economy,1452.96,12677.482,468165202.63,893176056.73
36081,Queens County,2021,Marine Construction,22,571,72165166,129062685.06
36081,Queens County,2021,Living Resources,94,353,11879779,30156133.051
36081,Queens County,2021,Offshore Mineral Resources,9,16,1944857,3296616.133
36081,Queens County,2021,Ship and Boat Building,0,0,0,0
36081,Queens County,2021,Tourism and Recreation,1272.96,9402.482,267883228.63,584027951.51
36085,Richmond County,2021,Marine Construction,8,194,26134607,46740037.326
36085,Richmond County,2021,Living Resources,18,81,4400185,11757470.286
36085,Richmond County,2021,Offshore Mineral Resources,0,0,0,0
36085,Richmond County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
36085,Richmond County,2021,Tourism and Recreation,853,6162,167852512,366138865.18
36085,Richmond County,2021,Marine Transportation,20,246,21955990,34063412.807
36085,Richmond County,2021,Ocean Economy,902,6683,220343294,458699785.6
36087,Rockland County,2021,Marine Construction,7,99,13314586,23812267.26
36087,Rockland County,2021,Living Resources,6,29,921264,2096722.694
36087,Rockland County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
36087,Rockland County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
36087,Rockland County,2021,Tourism and Recreation,0,0,0,0
36087,Rockland County,2021,Marine Transportation,15,801,44363365,56573230.165
36087,Rockland County,2021,Ocean Economy,31,929,58599215,82482220.119
36089,St. Lawrence County,2021,Marine Transportation,4,112,9565288,19206819.148
36089,St. Lawrence County,2021,Ocean Economy,8,112,9565288,19206819.148
36089,St. Lawrence County,2021,Marine Construction,SUP,SUP,SUP,SUP
36089,St. Lawrence County,2021,Living Resources,0,0,0,0
36089,St. Lawrence County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
36089,St. Lawrence County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
36089,St. Lawrence County,2021,Tourism and Recreation,0,0,0,0
36103,Suffolk County,2021,Marine Construction,66,697,63770148,114048743.79
36103,Suffolk County,2021,Living Resources,95,540,22716410,56177940.464
36103,Suffolk County,2021,Offshore Mineral Resources,21,25,1756718,2977712.449
36103,Suffolk County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
36103,Suffolk County,2021,Tourism and Recreation,2666.858,33746.467,1060858331.8,2323808087.4
36103,Suffolk County,2021,Marine Transportation,91,3411,330576002,505612898.31
36103,Suffolk County,2021,Ocean Economy,2948.858,38419.467,1479677609.8,3002625382.4
36111,Ulster County,2021,Marine Construction,SUP,SUP,SUP,SUP
36111,Ulster County,2021,Living Resources,SUP,SUP,SUP,SUP
36111,Ulster County,2021,Offshore Mineral Resources,4,21,1087433,2944133.337
36111,Ulster County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
36111,Ulster County,2021,Tourism and Recreation,0,0,0,0
36111,Ulster County,2021,Marine Transportation,11,88,5509103,7025340.662
36111,Ulster County,2021,Ocean Economy,22,109,6596536,9969473.999
36117,Wayne County,2021,Marine Construction,SUP,SUP,SUP,SUP
36117,Wayne County,2021,Living Resources,SUP,SUP,SUP,SUP
36117,Wayne County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
36117,Wayne County,2021,Ship and Boat Building,0,0,0,0
36117,Wayne County,2021,Tourism and Recreation,38.682,383.409,7493932.727,15694050.857
36117,Wayne County,2021,Marine Transportation,12,79,4223386,5385763.417
36117,Wayne County,2021,Ocean Economy,57.682,462.409,11717318.727,21079814.273
36119,Westchester County,2021,Marine Transportation,29,119,12401582,15814795.674
36119,Westchester County,2021,Ocean Economy,516.796,4818.452,186594166.51,355379097.98
36119,Westchester County,2021,Marine Construction,14,181,20733799,37081045.036
36119,Westchester County,2021,Living Resources,26,141,5951812,14543765.64
36119,Westchester County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
36119,Westchester County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
36119,Westchester County,2021,Tourism and Recreation,440.796,4377.452,147506973.51,287939491.63
42017,Bucks County,2021,Marine Construction,4,17,930860,1519408.198
42017,Bucks County,2021,Living Resources,9,56,1318906,2971919.252
42017,Bucks County,2021,Offshore Mineral Resources,6,35,2889642,4527420.752
42017,Bucks County,2021,Ship and Boat Building,0,0,0,0
42017,Bucks County,2021,Tourism and Recreation,0,0,0,0
42017,Bucks County,2021,Marine Transportation,55,1784,102701725,126385906.75
42017,Bucks County,2021,Ocean Economy,78,2257.5,135384837,195734171.628
42045,Delaware County,2021,Marine Construction,SUP,SUP,SUP,SUP
42045,Delaware County,2021,Living Resources,12,62,2856583,6436799.903
42045,Delaware County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
42045,Delaware County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
42045,Delaware County,2021,Tourism and Recreation,112,1290.333,26624201,63404710.969
42045,Delaware County,2021,Marine Transportation,31,492,23518500,28942132.646
42045,Delaware County,2021,Ocean Economy,159,2068,75711081,163028382.169
42049,Erie County,2021,Marine Construction,4,44,2494892,4072319.53
42049,Erie County,2021,Living Resources,SUP,SUP,SUP,SUP
42049,Erie County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
42049,Erie County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
42049,Erie County,2021,Tourism and Recreation,185,2432.25,44217017,104258882.985
42049,Erie County,2021,Marine Transportation,SUP,SUP,SUP,SUP
42049,Erie County,2021,Ocean Economy,214,2836.083,65295561,138547840.666
42101,Philadelphia County,2021,Marine Construction,SUP,SUP,SUP,SUP
42101,Philadelphia County,2021,Living Resources,47,575,30941815,80114367.596
42101,Philadelphia County,2021,Offshore Mineral Resources,0,0,0,0
42101,Philadelphia County,2021,Ship and Boat Building,10,404,35482845,54636847.854
42101,Philadelphia County,2021,Tourism and Recreation,2104,25116.75,771533165,1810600064.753
42101,Philadelphia County,2021,Marine Transportation,52,4094,205538054,272668818.33
42101,Philadelphia County,2021,Ocean Economy,2225,30732.583,1082829058,2276398120.114
44001,Bristol County,2021,Marine Construction,SUP,SUP,SUP,SUP
44001,Bristol County,2021,Living Resources,SUP,SUP,SUP,SUP
44001,Bristol County,2021,Offshore Mineral Resources,0,0,0,0
44001,Bristol County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
44001,Bristol County,2021,Tourism and Recreation,134,2022,60782901,131231711.911
44001,Bristol County,2021,Marine Transportation,SUP,SUP,SUP,SUP
44001,Bristol County,2021,Ocean Economy,160,2253.5,72964292,152474577.577
44003,Kent County,2021,Marine Transportation,SUP,SUP,SUP,SUP
44003,Kent County,2021,Ocean Economy,376,6314.667,165319175,356640219.244
44003,Kent County,2021,Marine Construction,SUP,SUP,SUP,SUP
44003,Kent County,2021,Living Resources,9,34,4020290,10964401.513
44003,Kent County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
44003,Kent County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
44003,Kent County,2021,Tourism and Recreation,356,6025.583,147937639,325281222.068
44005,Newport County,2021,Marine Transportation,SUP,SUP,SUP,SUP
44005,Newport County,2021,Ocean Economy,461,7708.417,391009935,860076852.744
44005,Newport County,2021,Marine Construction,4,19,5609704,9502773.205
44005,Newport County,2021,Living Resources,18,40,4173627,10337522.986
44005,Newport County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
44005,Newport County,2021,Ship and Boat Building,10,5,653634,1152392.863
44005,Newport County,2021,Tourism and Recreation,416,6149.667,209905272,543039203.446
44007,Providence County,2021,Marine Construction,5,63,6263623,10610504.371
44007,Providence County,2021,Living Resources,24,88,6654998,17635351.327
44007,Providence County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
44007,Providence County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
44007,Providence County,2021,Tourism and Recreation,858,12509.417,336012431,741563955.606
44007,Providence County,2021,Marine Transportation,21,772,39662327,48945909.309
44007,Providence County,2021,Ocean Economy,916,13775.833,408944355,871972570.306
44009,Washington County,2021,Marine Construction,11,56,4576255,7752122.642
44009,Washington County,2021,Living Resources,43,291,18878838,23519710.218
44009,Washington County,2021,Offshore Mineral Resources,6,52,3052042,17478773.141
44009,Washington County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
44009,Washington County,2021,Tourism and Recreation,431,5456.333,167883624,409406555.735
44009,Washington County,2021,Marine Transportation,SUP,SUP,SUP,SUP
44009,Washington County,2021,Ocean Economy,512,11118.333,524609349,1080598275.81
